Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
Biobio,08,Lebu,08201,27100,-,-,-,-,-,-,-,-,0.0
Biobio,08,Los Alamos,08206,22524,-,-,-,-,-,-,-,-,0.0
Biobio,08,Los Angeles,08301,218515,11,15,12,17,22,22,22,25,11.4
Biobio,08,Lota,08106,45750,-,-,-,-,-,-,1,1,2.2
Biobio,08,Mulchen,08305,31041,-,5,5,5,5,5,5,5,16.1
Biobio,08,Nacimiento,08306,27944,-,-,-,-,4,5,9,10,35.8
Biobio,08,Negrete,08307,10429,-,-,-,-,-,-,2,2,19.2
Biobio,08,Penco,08107,49865,-,-,-,5,5,5,9,11,22.1
Biobio,08,Quilaco,08308,4179,-,-,-,-,-,-,-,-,0.0
Biobio,08,Quilleco,08309,10032,-,-,-,-,-,-,-,-,0.0
Biobio,08,San Pedro de la Paz,08108,145906,18,50,56,63,71,73,80,75,51.4
Biobio,08,San Rosendo,08310,3611,-,-,-,-,-,-,-,-,0.0
Biobio,08,Santa Barbara,08311,14592,-,-,-,-,-,-,2,3,20.6
Biobio,08,Santa Juana,08109,14779,-,-,-,-,-,-,-,-,0.0
Biobio,08,Talcahuano,08110,158345,-,23,29,36,45,46,56,82,51.8
Biobio,08,Tirua,08207,11019,-,-,-,4,4,4,4,4,36.3
Biobio,08,Tome,08111,58729,4,6,9,25,30,30,37,37,63.0
Biobio,08,Tucapel,08312,15205,,-,-,-,-,-,1,-,0.0
Biobio,08,Yumbel,08313,22132,5,5,5,5,5,5,5,5,22.6
Biobio,08,Total,,1663696,85,240,302,383,439,474,512,542,32.6
,,,,,,,,,,,,,
La Araucania,09,Angol,09201,56058,7,13,12,15,23,24,28,36,64.2
La Araucania,09,Carahue,09102,25486,-,-,-,-,6,6,18,20,78.5
La Araucania,09,Cholchol,09121,12341,-,-,-,-,-,4,4,4,32.4
La Araucania,09,Collipulli,09202,26148,-,-,-,-,-,-,1,1,3.8
La Araucania,09,Cunco,09103,18055,-,-,-,5,5,5,5,6,33.2
La Araucania,09,Curacautin,09203,18178,-,-,-,-,-,5,5,5,27.5
La Araucania,09,Curarrehue,09104,7802,-,-,-,-,4,4,4,4,51.3
La Araucania,09,Ercilla,09204,8458,-,-,-,-,-,-,3,3,35.5
La Araucania,09,Freire,09105,25446,-,-,5,5,5,5,5,5,19.6
La Araucania,09,Galvarino,09106,12633,-,-,-,-,-,-,2,2,15.8
La Araucania,09,Gorbea,09107,15148,4,6,7,10,10,10,10,10,66.0
La Araucania,09,Lautaro,09108,40746,-,8,10,16,19,19,22,25,61.4
La Araucania,09,Loncoche,09109,24739,-,-,4,4,6,6,6,9,36.4
La Araucania,09,Lonquimay,09205,11049,-,-,-,-,-,-,-,-,0.0
La Araucania,09,Los Sauces,09206,7517,-,-,-,-,-,-,-,-,0.0
La Araucania,09,Lumaco,09207,10050,-,-,-,-,-,-,-,-,0.0
La Araucania,09,Melipeuco,09110,6265,-,-,-,-,-,-,-,-,0.0
La Araucania,09,Nueva Imperial,09111,33777,-,-,11,16,20,22,25,32,94.7
La Araucania,09,Padre Las Casas,09112,82110,9,14,33,44,49,49,49,52,63.3
La Araucania,09,Perquenco,09113,7223,-,-,-,-,-,-,3,3,41.5
La Araucania,09,Pitrufquen,09114,26096,4,6,7,11,12,12,16,18,69.0
