Publicacion,Fecha,Total
Defunciones_2020-06-12,2020-05-29,118.0
Defunciones_2020-06-13,2020-05-29,119.0
Defunciones_2020-06-07,2020-05-30,101.0
Defunciones_2020-06-08,2020-05-30,105.0
Defunciones_2020-06-09,2020-05-30,106.0
Defunciones_2020-06-10,2020-05-30,107.0
Defunciones_2020-06-11,2020-05-30,119.0
Defunciones_2020-06-12,2020-05-30,119.0
Defunciones_2020-06-13,2020-05-30,121.0
Defunciones_2020-06-07,2020-05-31,88.0
Defunciones_2020-06-08,2020-05-31,94.0
Defunciones_2020-06-09,2020-05-31,96.0
Defunciones_2020-06-10,2020-05-31,98.0
Defunciones_2020-06-11,2020-05-31,105.0
Defunciones_2020-06-12,2020-05-31,105.0
Defunciones_2020-06-13,2020-05-31,108.0
Defunciones_2020-06-07,2020-06-01,116.0
Defunciones_2020-06-08,2020-06-01,120.0
Defunciones_2020-06-09,2020-06-01,122.0
Defunciones_2020-06-10,2020-06-01,124.0
Defunciones_2020-06-11,2020-06-01,128.0
Defunciones_2020-06-12,2020-06-01,131.0
Defunciones_2020-06-13,2020-06-01,133.0
Defunciones_2020-06-07,2020-06-02,105.0
Defunciones_2020-06-08,2020-06-02,116.0
Defunciones_2020-06-09,2020-06-02,116.0
Defunciones_2020-06-10,2020-06-02,118.0
Defunciones_2020-06-11,2020-06-02,121.0
Defunciones_2020-06-12,2020-06-02,124.0
Defunciones_2020-06-13,2020-06-02,129.0
Defunciones_2020-06-07,2020-06-03,109.0
Defunciones_2020-06-08,2020-06-03,113.0
Defunciones_2020-06-09,2020-06-03,113.0
Defunciones_2020-06-10,2020-06-03,114.0
Defunciones_2020-06-11,2020-06-03,124.0
Defunciones_2020-06-12,2020-06-03,128.0
Defunciones_2020-06-13,2020-06-03,135.0
Defunciones_2020-06-07,2020-06-04,86.0
Defunciones_2020-06-08,2020-06-04,96.0
Defunciones_2020-06-09,2020-06-04,98.0
Defunciones_2020-06-10,2020-06-04,108.0
Defunciones_2020-06-11,2020-06-04,112.0
Defunciones_2020-06-12,2020-06-04,116.0
Defunciones_2020-06-13,2020-06-04,132.0
Defunciones_2020-06-07,2020-06-05,20.0
Defunciones_2020-06-08,2020-06-05,24.0
Defunciones_2020-06-09,2020-06-05,25.0
Defunciones_2020-06-10,2020-06-05,45.0
Defunciones_2020-06-11,2020-06-05,46.0
Defunciones_2020-06-12,2020-06-05,74.0
Defunciones_2020-06-13,2020-06-05,99.0
Defunciones_2020-06-07,2020-06-06,
Defunciones_2020-06-08,2020-06-06,2.0
Defunciones_2020-06-09,2020-06-06,7.0
Defunciones_2020-06-10,2020-06-06,56.0
Defunciones_2020-06-11,2020-06-06,67.0
Defunciones_2020-06-12,2020-06-06,91.0
Defunciones_2020-06-13,2020-06-06,118.0
Defunciones_2020-06-07,2020-06-07,
Defunciones_2020-06-08,2020-06-07,
Defunciones_2020-06-09,2020-06-07,0.0
Defunciones_2020-06-10,2020-06-07,76.0
Defunciones_2020-06-11,2020-06-07,98.0
Defunciones_2020-06-12,2020-06-07,115.0
Defunciones_2020-06-13,2020-06-07,121.0
Defunciones_2020-06-07,2020-06-08,
Defunciones_2020-06-08,2020-06-08,
Defunciones_2020-06-09,2020-06-08,
Defunciones_2020-06-10,2020-06-08,19.0
Defunciones_2020-06-11,2020-06-08,79.0
Defunciones_2020-06-12,2020-06-08,101.0
Defunciones_2020-06-13,2020-06-08,114.0
Defunciones_2020-06-07,2020-06-09,
Defunciones_2020-06-08,2020-06-09,
Defunciones_2020-06-09,2020-06-09,
Defunciones_2020-06-10,2020-06-09,
Defunciones_2020-06-11,2020-06-09,20.0
Defunciones_2020-06-12,2020-06-09,112.0
Defunciones_2020-06-13,2020-06-09,127.0
Defunciones_2020-06-07,2020-06-10,
Defunciones_2020-06-08,2020-06-10,
Defunciones_2020-06-09,2020-06-10,
Defunciones_2020-06-10,2020-06-10,
Defunciones_2020-06-11,2020-06-10,
Defunciones_2020-06-12,2020-06-10,23.0
Defunciones_2020-06-13,2020-06-10,97.0
Defunciones_2020-06-07,2020-06-11,
Defunciones_2020-06-08,2020-06-11,
Defunciones_2020-06-09,2020-06-11,
Defunciones_2020-06-10,2020-06-11,
Defunciones_2020-06-11,2020-06-11,
Defunciones_2020-06-12,2020-06-11,
Defunciones_2020-06-13,2020-06-11,29.0
