Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE9,SE10,SE11,SE12,SE13,SE14,SE15
Los Lagos,10,Rio Negro,10305,14275.0,-,-,-,-,1,2,-
Los Lagos,10,San Juan de la Costa,10306,7639.0,-,-,-,-,1,11,2
Los Lagos,10,San Pablo,10307,10553.0,-,-,-,-,2,4,-
Aisen,11,Aisen,11201,25002.0,-,-,1,1,-,1,-
Aisen,11,Chile Chico,11401,5121.0,-,-,-,-,-,1,-
Aisen,11,Cisnes,11202,5828.0,-,-,-,-,-,-,-
Aisen,11,Cochrane,11301,3685.0,-,-,-,-,-,-,-
Aisen,11,Coyhaique,,61210.0,-,-,2,-,-,-,-
Aisen,11,Guaitecas,11203,1599.0,-,-,-,-,-,-,-
Aisen,11,Lago Verde,11102,920.0,-,-,-,-,-,-,-
Aisen,11,OHiggins,,661.0,-,-,-,-,-,-,-
Aisen,11,Rio Ibanez,11402,2699.0,-,-,-,-,-,-,-
Aisen,11,Tortel,11303,572.0,-,-,1,-,-,-,-
Magallanes,12,Antartica,12202,137.0,-,-,-,-,-,-,-
Magallanes,12,Cabo de Hornos,12201,1983.0,-,-,-,8,7,-,3
Magallanes,12,Laguna Blanca,12102,264.0,-,-,-,-,-,-,-
Magallanes,12,Natales,12401,23782.0,-,-,1,3,1,1,-
Magallanes,12,Porvenir,12301,7323.0,-,-,-,-,3,1,-
Magallanes,12,Primavera,12302,694.0,-,-,-,-,-,-,-
Magallanes,12,Punta Arenas,12101,141984.0,1,-,4,61,111,156,54
Magallanes,12,Rio Verde,12103,211.0,-,-,-,-,-,-,-
Magallanes,12,San Gregorio,12104,681.0,-,-,-,-,-,-,-
Magallanes,12,Timaukel,12303,282.0,-,-,-,-,-,-,-
Magallanes,12,Torres del Paine,12402,1021.0,-,-,-,-,-,-,-
