Region,Codigo region,Comuna,Codigo comuna,Poblacion,Publicacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19
Metropolitana,13.0,Maria Pinto,13504.0,14926.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Metropolitana,13.0,Melipilla,13501.0,141612.0,2020-04-21,0.0,0.0,0.0,1.0,1.0,4.0,6.0,4.0,6.0,13.0,0.0,0.0,0.0
Metropolitana,13.0,Nunoa,13120.0,250192.0,2020-04-21,0.0,0.0,1.0,1.0,25.0,49.0,36.0,44.0,42.0,42.0,0.0,0.0,0.0
Metropolitana,13.0,Padre Hurtado,13604.0,74188.0,2020-04-21,0.0,0.0,0.0,1.0,0.0,5.0,9.0,5.0,11.0,1.0,0.0,0.0,0.0
Metropolitana,13.0,Paine,13404.0,82766.0,2020-04-21,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0
Metropolitana,13.0,Pedro Aguirre Cerda,13121.0,107803.0,2020-04-21,0.0,0.0,0.0,0.0,3.0,4.0,14.0,17.0,42.0,9.0,0.0,0.0,0.0
Metropolitana,13.0,Penaflor,13605.0,101058.0,2020-04-21,0.0,0.0,0.0,1.0,4.0,3.0,9.0,4.0,7.0,7.0,0.0,0.0,0.0
Metropolitana,13.0,Penalolen,13122.0,266798.0,2020-04-21,0.0,0.0,0.0,2.0,9.0,25.0,31.0,35.0,49.0,36.0,0.0,0.0,0.0
Metropolitana,13.0,Pirque,13202.0,30433.0,2020-04-21,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0
Metropolitana,13.0,Providencia,13123.0,157749.0,2020-04-21,0.0,0.0,0.0,4.0,28.0,61.0,20.0,22.0,25.0,20.0,0.0,0.0,0.0
Metropolitana,13.0,Pudahuel,13124.0,253139.0,2020-04-21,0.0,0.0,1.0,1.0,1.0,18.0,22.0,27.0,36.0,12.0,0.0,0.0,0.0
Metropolitana,13.0,Puente Alto,13201.0,645909.0,2020-04-21,0.0,0.0,0.0,1.0,7.0,50.0,93.0,145.0,143.0,123.0,0.0,0.0,0.0
Metropolitana,13.0,Quilicura,13125.0,254694.0,2020-04-21,0.0,0.0,0.0,2.0,3.0,17.0,22.0,35.0,30.0,20.0,0.0,0.0,0.0
Metropolitana,13.0,Quinta Normal,13126.0,136368.0,2020-04-21,0.0,0.0,0.0,2.0,4.0,13.0,23.0,34.0,44.0,29.0,0.0,0.0,0.0
Metropolitana,13.0,Recoleta,13127.0,190075.0,2020-04-21,0.0,0.0,0.0,0.0,5.0,14.0,16.0,25.0,37.0,29.0,0.0,0.0,0.0
Metropolitana,13.0,Renca,13128.0,160847.0,2020-04-21,0.0,0.0,0.0,0.0,4.0,8.0,10.0,6.0,26.0,28.0,0.0,0.0,0.0
Metropolitana,13.0,San Bernardo,13401.0,334836.0,2020-04-21,0.0,0.0,1.0,1.0,6.0,19.0,34.0,60.0,56.0,60.0,0.0,0.0,0.0
Metropolitana,13.0,San Joaquin,13129.0,103485.0,2020-04-21,0.0,0.0,0.0,0.0,1.0,14.0,22.0,14.0,30.0,20.0,0.0,0.0,0.0
Metropolitana,13.0,San Jose de Maipo,13203.0,18644.0,2020-04-21,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Metropolitana,13.0,San Miguel,13130.0,133059.0,2020-04-21,0.0,0.0,0.0,0.0,3.0,24.0,19.0,24.0,37.0,24.0,0.0,0.0,0.0
Metropolitana,13.0,San Pedro,13505.0,11953.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Metropolitana,13.0,San Ramon,13131.0,86510.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,11.0,7.0,10.0,13.0,0.0,0.0,0.0
Metropolitana,13.0,Santiago,13101.0,503147.0,2020-04-21,0.0,0.0,2.0,0.0,27.0,93.0,87.0,120.0,118.0,53.0,0.0,0.0,0.0
Metropolitana,13.0,Talagante,13601.0,81838.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,4.0,8.0,7.0,5.0,3.0,0.0,0.0,0.0
Metropolitana,13.0,Tiltil,13303.0,21477.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Metropolitana,13.0,Vitacura,13132.0,96774.0,2020-04-21,0.0,1.0,0.0,7.0,30.0,45.0,27.0,14.0,5.0,3.0,0.0,0.0,0.0
O’Higgins,6.0,Chepica,6302.0,15925.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Chimbarongo,6303.0,37696.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Codegua,6102.0,14096.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Coinco,6103.0,7831.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Coltauco,6104.0,21263.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Donihue,6105.0,22700.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Graneros,6106.0,36504.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,La Estrella,6202.0,3114.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Las Cabras,6107.0,26749.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Litueche,6203.0,6765.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Lolol,6304.0,7289.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Machali,6108.0,59913.0,2020-04-21,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Malloa,6109.0,14163.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Marchihue,6204.0,7632.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Mostazal,6110.0,27462.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Nancagua,6305.0,19141.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Navidad,6205.0,6904.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Olivar,6111.0,14624.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
O’Higgins,6.0,Palmilla,6306.0,13299.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Paredones,6206.0,6349.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Peralillo,6307.0,11848.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O’Higgins,6.0,Peumo,6112.0,14952.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
