Codigo region,Codigo comuna,Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
3,3301.0,57009,-,2020/04/01,3,Atacama,33,Huasco,3301,Vallenar,-
3,3301.0,57009,-,2020/04/10,3,Atacama,33,Huasco,3301,Vallenar,-
3,3301.0,57009,-,2020/04/08,3,Atacama,33,Huasco,3301,Vallenar,-
3,3301.0,57009,-,2020/04/03,3,Atacama,33,Huasco,3301,Vallenar,-
3,3301.0,57009,-,2020/04/06,3,Atacama,33,Huasco,3301,Vallenar,-
3,3301.0,57009,-,2020/03/30,3,Atacama,33,Huasco,3301,Vallenar,-
4,4103.0,11791,-,2020/04/01,4,Coquimbo,41,Elqui,4103,Andacollo,-
4,4103.0,11791,-,2020/04/10,4,Coquimbo,41,Elqui,4103,Andacollo,-
4,4103.0,11791,-,2020/04/08,4,Coquimbo,41,Elqui,4103,Andacollo,-
4,4103.0,11791,-,2020/04/03,4,Coquimbo,41,Elqui,4103,Andacollo,-
4,4103.0,11791,-,2020/04/06,4,Coquimbo,41,Elqui,4103,Andacollo,-
4,4103.0,11791,-,2020/03/30,4,Coquimbo,41,Elqui,4103,Andacollo,-
4,4202.0,9546,-,2020/04/01,4,Coquimbo,42,Choapa,4202,Canela,-
4,4202.0,9546,-,2020/04/10,4,Coquimbo,42,Choapa,4202,Canela,-
4,4202.0,9546,-,2020/04/08,4,Coquimbo,42,Choapa,4202,Canela,-
4,4202.0,9546,-,2020/04/03,4,Coquimbo,42,Choapa,4202,Canela,-
4,4202.0,9546,-,2020/04/06,4,Coquimbo,42,Choapa,4202,Canela,-
4,4202.0,9546,-,2020/03/30,4,Coquimbo,42,Choapa,4202,Canela,-
4,4302.0,13884,-,2020/04/01,4,Coquimbo,43,Limarí,4302,Combarbalá,-
4,4302.0,13884,-,2020/04/10,4,Coquimbo,43,Limarí,4302,Combarbalá,-
4,4302.0,13884,-,2020/04/08,4,Coquimbo,43,Limarí,4302,Combarbalá,-
4,4302.0,13884,-,2020/04/03,4,Coquimbo,43,Limarí,4302,Combarbalá,-
4,4302.0,13884,-,2020/04/06,4,Coquimbo,43,Limarí,4302,Combarbalá,-
4,4302.0,13884,-,2020/03/30,4,Coquimbo,43,Limarí,4302,Combarbalá,-
4,4102.0,256735,19,2020/04/01,4,Coquimbo,41,Elqui,4102,Coquimbo,7.400627105770542
4,4102.0,256735,21,2020/04/10,4,Coquimbo,41,Elqui,4102,Coquimbo,8.179640485325335
4,4102.0,256735,19,2020/04/08,4,Coquimbo,41,Elqui,4102,Coquimbo,7.400627105770542
4,4102.0,256735,19,2020/04/03,4,Coquimbo,41,Elqui,4102,Coquimbo,7.400627105770542
4,4102.0,256735,19,2020/04/06,4,Coquimbo,41,Elqui,4102,Coquimbo,7.400627105770542
4,4102.0,256735,17,2020/03/30,4,Coquimbo,41,Elqui,4102,Coquimbo,6.621613726215748
4,4201.0,32801,-,2020/04/01,4,Coquimbo,42,Choapa,4201,Illapel,-
4,4201.0,32801,13,2020/04/10,4,Coquimbo,42,Choapa,4201,Illapel,39.63293802018231
4,4201.0,32801,12,2020/04/08,4,Coquimbo,42,Choapa,4201,Illapel,36.584250480168286
4,4201.0,32801,-,2020/04/03,4,Coquimbo,42,Choapa,4201,Illapel,-
4,4201.0,32801,7,2020/04/06,4,Coquimbo,42,Choapa,4201,Illapel,21.34081278009817
4,4201.0,32801,-,2020/03/30,4,Coquimbo,42,Choapa,4201,Illapel,-
4,4104.0,4450,-,2020/04/01,4,Coquimbo,41,Elqui,4104,La Higuera,-
4,4104.0,4450,-,2020/04/10,4,Coquimbo,41,Elqui,4104,La Higuera,-
4,4104.0,4450,-,2020/04/08,4,Coquimbo,41,Elqui,4104,La Higuera,-
4,4104.0,4450,-,2020/04/03,4,Coquimbo,41,Elqui,4104,La Higuera,-
4,4104.0,4450,-,2020/04/06,4,Coquimbo,41,Elqui,4104,La Higuera,-
4,4104.0,4450,-,2020/03/30,4,Coquimbo,41,Elqui,4104,La Higuera,-
4,4101.0,249656,-,2020/04/01,4,Coquimbo,41,Elqui,4101,La Serena,-
4,4101.0,249656,12,2020/04/10,4,Coquimbo,41,Elqui,4101,La Serena,4.806613900727401
4,4101.0,249656,12,2020/04/08,4,Coquimbo,41,Elqui,4101,La Serena,4.806613900727401
4,4101.0,249656,8,2020/04/03,4,Coquimbo,41,Elqui,4101,La Serena,3.2044092671516005
4,4101.0,249656,12,2020/04/06,4,Coquimbo,41,Elqui,4101,La Serena,4.806613900727401
4,4101.0,249656,-,2020/03/30,4,Coquimbo,41,Elqui,4101,La Serena,-
4,4203.0,23374,-,2020/04/01,4,Coquimbo,42,Choapa,4203,Los Vilos,-
4,4203.0,23374,-,2020/04/10,4,Coquimbo,42,Choapa,4203,Los Vilos,-
4,4203.0,23374,-,2020/04/08,4,Coquimbo,42,Choapa,4203,Los Vilos,-
4,4203.0,23374,-,2020/04/03,4,Coquimbo,42,Choapa,4203,Los Vilos,-
4,4203.0,23374,-,2020/04/06,4,Coquimbo,42,Choapa,4203,Los Vilos,-
4,4203.0,23374,-,2020/03/30,4,Coquimbo,42,Choapa,4203,Los Vilos,-
4,4303.0,32527,-,2020/04/01,4,Coquimbo,43,Limarí,4303,Monte Patria,-
4,4303.0,32527,-,2020/04/10,4,Coquimbo,43,Limarí,4303,Monte Patria,-
4,4303.0,32527,-,2020/04/08,4,Coquimbo,43,Limarí,4303,Monte Patria,-
4,4303.0,32527,-,2020/04/03,4,Coquimbo,43,Limarí,4303,Monte Patria,-
4,4303.0,32527,-,2020/04/06,4,Coquimbo,43,Limarí,4303,Monte Patria,-
4,4303.0,32527,-,2020/03/30,4,Coquimbo,43,Limarí,4303,Monte Patria,-
4,4301.0,121269,4,2020/04/01,4,Coquimbo,43,Limarí,4301,Ovalle,3.2984522013045376
4,4301.0,121269,8,2020/04/10,4,Coquimbo,43,Limarí,4301,Ovalle,6.596904402609075
4,4301.0,121269,7,2020/04/08,4,Coquimbo,43,Limarí,4301,Ovalle,5.7722913522829415
4,4301.0,121269,4,2020/04/03,4,Coquimbo,43,Limarí,4301,Ovalle,3.2984522013045376
4,4301.0,121269,7,2020/04/06,4,Coquimbo,43,Limarí,4301,Ovalle,5.7722913522829415
4,4301.0,121269,4,2020/03/30,4,Coquimbo,43,Limarí,4301,Ovalle,3.2984522013045376
4,4105.0,4675,-,2020/04/01,4,Coquimbo,41,Elqui,4105,Paiguano,-
4,4105.0,4675,-,2020/04/10,4,Coquimbo,41,Elqui,4105,Paiguano,-
4,4105.0,4675,-,2020/04/08,4,Coquimbo,41,Elqui,4105,Paiguano,-
4,4105.0,4675,-,2020/04/03,4,Coquimbo,41,Elqui,4105,Paiguano,-
4,4105.0,4675,-,2020/04/06,4,Coquimbo,41,Elqui,4105,Paiguano,-
4,4105.0,4675,-,2020/03/30,4,Coquimbo,41,Elqui,4105,Paiguano,-
4,4304.0,12165,-,2020/04/01,4,Coquimbo,43,Limarí,4304,Punitaqui,-
4,4304.0,12165,-,2020/04/10,4,Coquimbo,43,Limarí,4304,Punitaqui,-
4,4304.0,12165,-,2020/04/08,4,Coquimbo,43,Limarí,4304,Punitaqui,-
4,4304.0,12165,-,2020/04/03,4,Coquimbo,43,Limarí,4304,Punitaqui,-
4,4304.0,12165,-,2020/04/06,4,Coquimbo,43,Limarí,4304,Punitaqui,-
4,4304.0,12165,-,2020/03/30,4,Coquimbo,43,Limarí,4304,Punitaqui,-
4,4305.0,4372,-,2020/04/01,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4,4305.0,4372,-,2020/04/10,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4,4305.0,4372,-,2020/04/08,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4,4305.0,4372,-,2020/04/03,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4,4305.0,4372,-,2020/04/06,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4,4305.0,4372,-,2020/03/30,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4,4204.0,29110,-,2020/04/01,4,Coquimbo,42,Choapa,4204,Salamanca,-
4,4204.0,29110,5,2020/04/10,4,Coquimbo,42,Choapa,4204,Salamanca,17.17622810030917
4,4204.0,29110,4,2020/04/08,4,Coquimbo,42,Choapa,4204,Salamanca,13.740982480247338
4,4204.0,29110,-,2020/04/03,4,Coquimbo,42,Choapa,4204,Salamanca,-
4,4204.0,29110,4,2020/04/06,4,Coquimbo,42,Choapa,4204,Salamanca,13.740982480247338
4,4204.0,29110,-,2020/03/30,4,Coquimbo,42,Choapa,4204,Salamanca,-
4,4106.0,29741,-,2020/04/01,4,Coquimbo,41,Elqui,4106,Vicuña,-
4,4106.0,29741,-,2020/04/10,4,Coquimbo,41,Elqui,4106,Vicuña,-
4,4106.0,29741,-,2020/04/08,4,Coquimbo,41,Elqui,4106,Vicuña,-
4,4106.0,29741,-,2020/04/03,4,Coquimbo,41,Elqui,4106,Vicuña,-
4,4106.0,29741,-,2020/04/06,4,Coquimbo,41,Elqui,4106,Vicuña,-
4,4106.0,29741,-,2020/03/30,4,Coquimbo,41,Elqui,4106,Vicuña,-
