Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
16482,-,2020/04/01,5,Valparaíso,53,Los Andes,5302,Calle Larga,-
16482,-,2020/04/10,5,Valparaíso,53,Los Andes,5302,Calle Larga,-
16482,-,2020/04/08,5,Valparaíso,53,Los Andes,5302,Calle Larga,-
16482,-,2020/04/03,5,Valparaíso,53,Los Andes,5302,Calle Larga,-
16482,-,2020/04/06,5,Valparaíso,53,Los Andes,5302,Calle Larga,-
16482,-,2020/03/30,5,Valparaíso,53,Los Andes,5302,Calle Larga,-
25357,-,2020/04/01,5,Valparaíso,56,San Antonio,5603,Cartagena,-
25357,-,2020/04/10,5,Valparaíso,56,San Antonio,5603,Cartagena,-
25357,-,2020/04/08,5,Valparaíso,56,San Antonio,5603,Cartagena,-
25357,-,2020/04/03,5,Valparaíso,56,San Antonio,5603,Cartagena,-
25357,-,2020/04/06,5,Valparaíso,56,San Antonio,5603,Cartagena,-
25357,-,2020/03/30,5,Valparaíso,56,San Antonio,5603,Cartagena,-
29170,-,2020/04/01,5,Valparaíso,51,Valparaíso,5102,Casablanca,-
29170,-,2020/04/10,5,Valparaíso,51,Valparaíso,5102,Casablanca,-
29170,-,2020/04/08,5,Valparaíso,51,Valparaíso,5102,Casablanca,-
29170,-,2020/04/03,5,Valparaíso,51,Valparaíso,5102,Casablanca,-
29170,-,2020/04/06,5,Valparaíso,51,Valparaíso,5102,Casablanca,-
29170,-,2020/03/30,5,Valparaíso,51,Valparaíso,5102,Casablanca,-
15213,-,2020/04/01,5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,-
15213,-,2020/04/10,5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,-
15213,-,2020/04/08,5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,-
15213,-,2020/04/03,5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,-
15213,-,2020/04/06,5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,-
15213,-,2020/03/30,5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,-
45889,-,2020/04/01,5,Valparaíso,51,Valparaíso,5103,Concón,-
45889,-,2020/04/10,5,Valparaíso,51,Valparaíso,5103,Concón,-
45889,-,2020/04/08,5,Valparaíso,51,Valparaíso,5103,Concón,-
45889,7,2020/04/03,5,Valparaíso,51,Valparaíso,5103,Concón,15.25420035302578
45889,7,2020/04/06,5,Valparaíso,51,Valparaíso,5103,Concón,15.25420035302578
45889,-,2020/03/30,5,Valparaíso,51,Valparaíso,5103,Concón,-
17742,-,2020/04/01,5,Valparaíso,56,San Antonio,5604,El Quisco,-
17742,-,2020/04/10,5,Valparaíso,56,San Antonio,5604,El Quisco,-
17742,-,2020/04/08,5,Valparaíso,56,San Antonio,5604,El Quisco,-
17742,-,2020/04/03,5,Valparaíso,56,San Antonio,5604,El Quisco,-
17742,-,2020/04/06,5,Valparaíso,56,San Antonio,5604,El Quisco,-
17742,-,2020/03/30,5,Valparaíso,56,San Antonio,5604,El Quisco,-
14338,-,2020/04/01,5,Valparaíso,56,San Antonio,5605,El Tabo,-
14338,-,2020/04/10,5,Valparaíso,56,San Antonio,5605,El Tabo,-
14338,-,2020/04/08,5,Valparaíso,56,San Antonio,5605,El Tabo,-
14338,-,2020/04/03,5,Valparaíso,56,San Antonio,5605,El Tabo,-
14338,-,2020/04/06,5,Valparaíso,56,San Antonio,5605,El Tabo,-
14338,-,2020/03/30,5,Valparaíso,56,San Antonio,5605,El Tabo,-
19099,-,2020/04/01,5,Valparaíso,55,Quillota,5503,Hijuelas,-
19099,-,2020/04/10,5,Valparaíso,55,Quillota,5503,Hijuelas,-
19099,-,2020/04/08,5,Valparaíso,55,Quillota,5503,Hijuelas,-
19099,-,2020/04/03,5,Valparaíso,55,Quillota,5503,Hijuelas,-
19099,-,2020/04/06,5,Valparaíso,55,Quillota,5503,Hijuelas,-
19099,-,2020/03/30,5,Valparaíso,55,Quillota,5503,Hijuelas,-
8277,5,2020/04/01,5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,60.408360517095566
